index,Parameter Name,J (MeV),L (MeV),K (MeV),m*/m,J-J_calc,L-L_calc,K-K_Calc
94,J-33L-40K300ms_m0.95,-33.00000000933448,-40.000000044176915,299.99999992423017,0.9500000000089144,7.105427357601002e-15,-4.623203153641953e-9,1.4645252122136299e-8
95,J-33L-40K300ms_m1.0,-33.000000007861445,-40.00000003671383,299.99999993964593,1.0,7.105427357601002e-15,-4.623373683898535e-9,1.3280839539220324e-8
96,J-33L-40K600ms_m0.6,-33.000000018885515,-40.00000002978015,600.0000001854892,0.5999999999845264,0.0,2.926879005826777e-8,-1.1191559678991325e-7
97,J-33L-40K600ms_m0.65,-33.00000003752234,-40.00000012272568,600.0000000007908,0.6500000000233259,0.0,2.9257776645863487e-8,-1.2093369150534272e-7
98,J-33L-40K600ms_m0.7,-33.000000031426836,-40.00000009204376,600.0000000631771,0.6999999999527647,-1.4210854715202004e-14,2.9252134936541552e-8,-1.1799420462921262e-7
99,J-33L-40K600ms_m0.75,-33.0000000351243,-40.000000110353994,600.0000000274426,0.750000000000805,-1.4210854715202004e-14,2.9259197731335007e-8,-1.0574149200692773e-7
100,J-33L-40K600ms_m0.8,-32.99999997255158,-39.99999979733525,600.0000006542549,0.7999999999970194,-1.4210854715202004e-14,2.9265606826811563e-8,-1.0644646408763947e-7
101,J-33L-40K600ms_m0.85,-33.00000003191258,-40.0000000940035,600.0000000616028,0.849999999998599,0.0,2.927630760041211e-8,-1.1905694918823428e-7
102,J-33L-40K600ms_m0.9,-33.00000004552369,-40.00000016193752,599.9999999263426,0.9000000000065753,-1.4210854715202004e-14,2.9263205192364694e-8,-1.0800226846185979e-7
103,J-33L-40K600ms_m0.95,-32.999999945883076,-39.999999663625545,600.0000009235104,0.9500000000089144,0.0,2.925912667706143e-8,-1.2204475297039608e-7
104,J-33L-40K600ms_m1.0,-32.9999999620934,-39.99999974457921,600.0000007620931,1.0,0.0,2.925723663338431e-8,-1.2845009678130737e-7
105,J-33L-30K0ms_m0.6,-32.99999991578426,-29.999999695428073,1.6257612855952175e-7,0.5999999999845264,0.0,-4.505027462187172e-8,1.5653935747650394e-7
106,J-33L-30K0ms_m0.65,-32.99999991456269,-29.999999689081733,1.7646146943661734e-7,0.6499999999739341,0.0,-4.5046590457786806e-8,1.5845347434151336e-7
107,J-33L-30K0ms_m0.7,-32.99999992875203,-29.999999759823936,3.599944875531946e-8,0.6999999999639966,0.0,-4.5053912600678814e-8,1.6092991472760332e-7
108,J-33L-30K0ms_m0.75,-32.999999931170095,-29.99999977173718,1.3058915726560372e-8,0.7499999999750174,0.0,-4.5048370367339885e-8,1.5661128571764496e-7
109,J-33L-30K0ms_m0.8,-32.999999922073926,-29.999999726101123,1.0510609627090162e-7,0.7999999999823489,0.0,-4.5048341945630455e-8,1.5964167232596083e-7
110,J-33L-30K0ms_m0.85,-32.999999928384824,-29.999999757518935,4.295468869486285e-8,0.8499999999820376,0.0,-4.505511697061593e-8,1.7064774482378198e-7
111,J-33L-30K0ms_m0.9,-32.999999923033215,-29.999999730639274,9.732185546340588e-8,0.8999999999323072,0.0,-4.5041435470238866e-8,1.6720515461088326e-7
112,J-33L-30K0ms_m0.95,-32.99999993162507,-29.999999773489776,1.2165152440957172e-8,0.9500000000296016,0.0,-4.5048341945630455e-8,1.4855525165557992e-7
113,J-33L-30K0ms_m1.0,-32.99999992972556,-29.999999763894266,3.184524643984332e-8,1.0,0.0,-4.50417481090426e-8,1.5677571241212718e-7
114,J-33L-30K300ms_m0.6,-32.99999999607767,-29.999999987998592,299.9999999980217,0.5999999999845264,0.0,-1.1148291179097214e-8,4.4235321183805354e-8
115,J-33L-30K300ms_m0.65,-32.99999999493,-29.999999982021734,300.0000000111679,0.6499999999555333,0.0,-1.1152565093652811e-8,4.295469580029021e-8
116,J-33L-30K300ms_m0.7,-32.99999999493001,-29.99999998181727,300.0000000125992,0.6999999999415328,0.0,-1.1144852152256135e-8,3.6507515233097365e-8
117,J-33L-30K300ms_m0.75,-32.99999999651797,-29.999999989579948,299.9999999979598,0.7499999999775961,0.0,-1.1149683842859304e-8,4.458269131646375e-8
118,J-33L-30K300ms_m0.8,-32.99999999532523,-29.99999998346115,300.00000001097254,0.7999999999530085,0.0,-1.1150149248351227e-8,3.825738303930848e-8
119,J-33L-30K300ms_m0.85,-32.99999999888994,-30.000000001147953,299.9999999762829,0.8500000000482829,0.0,-1.1146784828497402e-8,4.480187953959103e-8
120,J-33L-30K300ms_m0.9,-32.999999998780865,-30.000000000480952,299.99999997822493,0.9000000000808437,0.0,-1.1148262757387783e-8,4.183266355539672e-8
121,J-33L-30K300ms_m0.95,-32.99999999822949,-29.999999997615248,299.99999998450033,0.9500000000089144,0.0,-1.1150024903372469e-8,3.5420669064478716e-8
122,J-33L-30K300ms_m1.0,-32.99999999852479,-29.99999999899387,299.99999998223274,1.0,0.0,-1.1151616519100571e-8,4.256628471921431e-8
123,J-33L-30K600ms_m0.6,-33.00000004629439,-30.000000162758624,599.9999999387957,0.6000000000670465,0.0,2.2758467110861602e-8,-7.324376838369062e-8
124,J-33L-30K600ms_m0.65,-33.000000039997914,-30.00000013103775,600.0000000034303,0.6499999999555333,1.4210854715202004e-14,2.2759433448982236e-8,-8.984989108284935e-8
125,J-33L-30K600ms_m0.7,-33.00000003859353,-30.000000123811475,600.000000018905,0.6999999999976924,0.0,2.274499522059159e-8,-6.291554655035725e-8
126,J-33L-30K600ms_m0.75,-33.000000040585164,-30.00000013359241,600.000000000229,0.750000000000805,-1.4210854715202004e-14,2.2755909157012866e-8,-6.19464799456182e-8
127,J-33L-30K600ms_m0.8,-33.00000003106253,-30.00000008582424,600.0000000965407,0.7999999999970194,-1.4210854715202004e-14,2.2754079509468284e-8,-6.334846602840116e-8
128,J-33L-30K600ms_m0.85,-33.00000003728811,-30.000000116815414,600.0000000352422,0.8499999999952867,7.105427357601002e-15,2.2743773087086083e-8,-7.502262633352075e-8
129,J-33L-30K600ms_m0.9,-33.00000003330119,-30.000000096759237,600.0000000759628,0.9000000000065753,-1.4210854715202004e-14,2.2754544914960206e-8,-6.479297098849202e-8
