index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
32,GKW2_medium(rho1.5),56.2574577331543,11.879882520723413,-0.0001174792765876731
33,GKW3_medium(rho1.5),40.82773208618164,11.879914695973,-8.530402700124284e-5
42,GKW2_medium(rho1.5)+Kohno2(k1.5),51.827449798583984,11.88026520243082,0.0002652024308194001
43,GKW3_medium(rho1.5)+Kohno3(k1.5),35.99337577819824,11.880022812456986,2.2812456984766527e-5
51,J-33L-50K0ms_m0.6,54.116153717041016,11.880119035016193,0.00011903501619237034
52,J-33L-50K0ms_m0.65,54.603214263916016,11.879774996299417,-0.00022500370058331498
53,J-33L-50K0ms_m0.7,55.1038932800293,11.879744860271643,-0.00025513972835788934
54,J-33L-50K0ms_m0.75,56.06679916381836,11.8799716805905,-2.831940950009937e-5
55,J-33L-50K0ms_m0.8,56.577091217041016,11.88006795534585,6.795534585002372e-5
56,J-33L-50K0ms_m0.85,57.08738327026367,11.880039180667652,3.918066765074002e-5
57,J-33L-50K0ms_m0.9,57.601680755615234,11.880000481062169,4.810621678785765e-7
58,J-33L-50K0ms_m0.95,58.11357498168945,11.88002349274899,2.349274898882925e-5
59,J-33L-50K0ms_m1.0,58.627872467041016,11.87984723396805,-0.00015276603195069072
60,J-33L-50K300ms_m0.6,26.48127555847168,11.880194972835525,0.00019497283552460942
61,J-33L-50K300ms_m0.65,27.888784408569336,11.879974000148835,-2.5999851166247367e-5
62,J-33L-50K300ms_m0.7,29.24382209777832,11.880056922087618,5.692208761765016e-5
63,J-33L-50K300ms_m0.75,30.553998947143555,11.880148965543995,0.00014896554399435047
64,J-33L-50K300ms_m0.8,31.82692527770996,11.88007671685098,7.671685097854208e-5
65,J-33L-50K300ms_m0.85,33.06340217590332,11.87985602083748,-0.0001439791625212905
66,J-33L-50K300ms_m0.9,34.26743507385254,11.879967433150398,-3.256684960284417e-5
67,J-33L-50K300ms_m0.95,35.27640342712402,11.879914586905599,-8.541309440168732e-5
68,J-33L-50K300ms_m1.0,36.367483139038086,11.880106210885216,0.00010621088521567401
69,J-33L-50K600ms_m0.6,6.4749932289123535,11.879900552639086,-9.944736091505035e-5
70,J-33L-50K600ms_m0.65,8.735659122467041,11.879852300804373,-0.00014769919562773737
71,J-33L-50K600ms_m0.7,10.408177375793457,11.880008481492482,8.481492480783004e-6
72,J-33L-50K600ms_m0.75,12.319369316101074,11.879907523375337,-9.247662466371764e-5
73,J-33L-50K600ms_m0.8,14.13362979888916,11.879994411892213,-5.588107788057073e-6
74,J-33L-50K600ms_m0.85,15.861372947692871,11.879992140570067,-7.85942993353217e-6
75,J-33L-50K600ms_m0.9,18.46470355987549,11.880048287831912,4.828783191079822e-5
76,J-33L-50K600ms_m0.95,20.21477699279785,11.880092897875628,9.289787562671847e-5
77,J-33L-50K600ms_m1.0,21.927499771118164,11.880125573169948,0.000125573169947657
78,J-33L-40K0ms_m0.6,68.22649002075195,11.880050452846604,5.04528466027665e-5
79,J-33L-40K0ms_m0.65,68.41554641723633,11.880075384539666,7.53845396648245e-5
80,J-33L-40K0ms_m0.7,68.63424301147461,11.880026057936874,2.6057936873158383e-5
81,J-33L-40K0ms_m0.75,68.87456893920898,11.879935460871849,-6.453912815196361e-5
82,J-33L-40K0ms_m0.8,69.6171760559082,11.88000522511274,5.225112738926896e-6
83,J-33L-40K0ms_m0.85,69.8863410949707,11.879868268876393,-0.00013173112360753692
84,J-33L-40K0ms_m0.9,70.16592025756836,11.880041534072248,4.153407224727346e-5
85,J-33L-40K0ms_m0.95,70.45751571655273,11.879734808948172,-0.00026519105182920555
86,J-33L-40K0ms_m1.0,70.75151443481445,11.88000342273574,3.4227357392779822e-6
87,J-33L-40K300ms_m0.6,35.67294120788574,11.880067497983148,6.749798314764632e-5
88,J-33L-40K300ms_m0.65,37.423715591430664,11.880116577202784,0.00011657720278357431
89,J-33L-40K300ms_m0.7,38.494367599487305,11.880116813446278,0.00011681344627767487
90,J-33L-40K300ms_m0.75,39.5369815826416,11.879986939603313,-1.3060396687691878e-5
91,J-33L-40K300ms_m0.8,40.55215835571289,11.880102449976732,0.00010244997673147793
92,J-33L-40K300ms_m0.85,41.54630661010742,11.87984531403994,-0.00015468596006051882
93,J-33L-40K300ms_m0.9,42.51882553100586,11.879907327129615,-9.267287038561278e-5
94,J-33L-40K300ms_m0.95,43.47372055053711,11.880085080726857,8.508072685664558e-5
95,J-33L-40K300ms_m1.0,44.28201675415039,11.880204792926989,0.0002047929269881621
96,J-33L-40K600ms_m0.6,13.755717277526855,11.880005603964037,5.6039640359273335e-6
97,J-33L-40K600ms_m0.65,15.726590156555176,11.880163205725523,0.00016320572552253054
98,J-33L-40K600ms_m0.7,17.60934352874756,11.880000373312782,3.733127815763737e-7
99,J-33L-40K600ms_m0.75,19.01444911956787,11.879969588314708,-3.0411685292719426e-5
100,J-33L-40K600ms_m0.8,20.626535415649414,11.879916508673588,-8.349132641249923e-5
101,J-33L-40K600ms_m0.85,22.165822982788086,11.880123011428708,0.00012301142870718706
102,J-33L-40K600ms_m0.9,23.639822006225586,11.879993805451647,-6.194548353377627e-6
103,J-33L-40K600ms_m0.95,25.0533390045166,11.880025618601962,2.561860196159671e-5
104,J-33L-40K600ms_m1.0,27.383699417114258,11.879990813205112,-9.186794889259886e-6
105,J-33L-30K0ms_m0.6,84.59148406982422,11.87997420105755,-2.5798942450805384e-5
106,J-33L-30K0ms_m0.65,84.5113754272461,11.879915096756463,-8.49032435379371e-5
107,J-33L-30K0ms_m0.7,84.47452545166016,11.880087265949328,8.726594932717546e-5
108,J-33L-30K0ms_m0.75,84.46971893310547,11.880119081935277,0.00011908193527609967
109,J-33L-30K0ms_m0.8,84.49535369873047,11.880275428151137,0.0002754281511361256
110,J-33L-30K0ms_m0.85,85.12500762939453,11.880110035985496,0.00011003598549486071
111,J-33L-30K0ms_m0.9,85.19550323486328,11.88008156258698,8.156258697944452e-5
112,J-33L-30K0ms_m0.95,85.28362274169922,11.879857405656466,-0.00014259434353469658
113,J-33L-30K0ms_m1.0,85.38135528564453,11.88013017537726,0.00013017537725978912
114,J-33L-30K300ms_m0.6,46.956844329833984,11.880196102846895,0.00019610284689441926
115,J-33L-30K300ms_m0.65,47.74831771850586,11.8798352258231,-0.00016477417690019536
116,J-33L-30K300ms_m0.7,48.51736068725586,11.88024828098392,0.0002482809839197131
117,J-33L-30K300ms_m0.75,49.95771408081055,11.88006210430953,6.210430952968693e-5
118,J-33L-30K300ms_m0.8,50.7243537902832,11.879985406949544,-1.4593050456923606e-5
119,J-33L-30K300ms_m0.85,51.47977828979492,11.880050448937183,5.044893718242349e-5
120,J-33L-30K300ms_m0.9,52.225589752197266,11.879929488277469,-7.051172253191851e-5
121,J-33L-30K300ms_m0.95,52.9633903503418,11.879999791129308,-2.0887069318575868e-7
122,J-33L-30K300ms_m1.0,53.69558334350586,11.879890739708316,-0.00010926029168523144
123,J-33L-30K600ms_m0.6,22.064485549926758,11.880018403963987,1.8403963986557415e-5
124,J-33L-30K600ms_m0.65,23.748369216918945,11.87989546981619,-0.00010453018381006984
125,J-33L-30K600ms_m0.7,25.362558364868164,11.87990326254851,-9.673745149108015e-5
126,J-33L-30K600ms_m0.75,26.91746711730957,11.879900867970079,-9.913202992173353e-5
127,J-33L-30K600ms_m0.8,28.41670036315918,11.880154458877456,0.00015445887745535458
128,J-33L-30K600ms_m0.85,29.41725730895996,11.88020078710683,0.00020078710682902567
129,J-33L-30K600ms_m0.9,30.707406997680664,11.879986445791047,-1.3554208953436842e-5
130,J-33L-30K600ms_m0.95,31.94708824157715,11.880008433798793,8.433798791784852e-6
131,J-33L-30K600ms_m1.0,33.13990592956543,11.88002907611424,2.9076114239856565e-5
132,J-33L-20K0ms_m0.6,103.65734100341797,11.880115487255637,0.00011548725563592654
133,J-33L-20K0ms_m0.65,103.36254119873047,11.879857319130764,-0.0001426808692368553
134,J-33L-20K0ms_m0.7,103.1174087524414,11.879768996897624,-0.00023100310237644806
135,J-33L-20K0ms_m0.75,102.91553497314453,11.879883162523967,-0.0001168374760336377
136,J-33L-20K0ms_m0.8,102.74250030517578,11.880102199706812,0.00010219970681113466
137,J-33L-20K0ms_m0.85,102.59990692138672,11.880054463733174,5.446373317319342e-5
138,J-33L-20K0ms_m0.9,103.27922821044922,11.880097966072498,9.796607249690226e-5
139,J-33L-20K0ms_m0.95,103.1991195678711,11.88008276999831,8.276999830947318e-5
140,J-33L-20K0ms_m1.0,103.13663482666016,11.880005737104,5.737103998981752e-6
141,J-33L-20K300ms_m0.6,59.79825973510742,11.87992661456056,-7.338543944079845e-5
142,J-33L-20K300ms_m0.65,60.299739837646484,11.879824917157677,-0.00017508284232370386
143,J-33L-20K300ms_m0.7,60.80121994018555,11.880063005367745,6.300536774439536e-5
144,J-33L-20K300ms_m0.75,61.30189895629883,11.879948284132297,-5.171586770380543e-5
145,J-33L-20K300ms_m0.8,62.517948150634766,11.879963322229372,-3.667777062865696e-5
146,J-33L-20K300ms_m0.85,63.04105758666992,11.880237762829651,0.00023776282965037865
147,J-33L-20K300ms_m0.9,63.56576919555664,11.880207892880009,0.00020789288000777617
