index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV
3053,J-28L-40K200ms_m0.85,-3.3364152908325195,11.880000076293157,7.629315668111758e-8
3054,J-28L-40K200ms_m0.9,-2.1644091606140137,11.879996823680216,-3.1763197849699054e-6
3055,J-28L-40K200ms_m0.95,-1.0247266292572021,11.880001334019894,1.3340198936617753e-6
3056,J-28L-40K200ms_m1.0,0.08646562695503235,11.879999564604233,-4.3539576743967245e-7
3057,J-28L-40K400ms_m0.6,NaN,NaN,NaN
3058,J-28L-40K400ms_m0.65,NaN,NaN,NaN
3059,J-28L-40K400ms_m0.7,NaN,NaN,NaN
3060,J-28L-40K400ms_m0.75,NaN,NaN,NaN
3061,J-28L-40K400ms_m0.8,NaN,NaN,NaN
3062,J-28L-40K400ms_m0.85,NaN,NaN,NaN
3063,J-28L-40K400ms_m0.9,NaN,NaN,NaN
3064,J-28L-40K400ms_m0.95,NaN,NaN,NaN
3065,J-28L-40K400ms_m1.0,NaN,NaN,NaN
3066,J-28L-40K500ms_m0.6,NaN,NaN,NaN
3067,J-28L-40K500ms_m0.65,NaN,NaN,NaN
3068,J-28L-40K500ms_m0.7,NaN,NaN,NaN
3069,J-28L-40K500ms_m0.75,NaN,NaN,NaN
3070,J-28L-40K500ms_m0.8,NaN,NaN,NaN
3071,J-28L-40K500ms_m0.85,NaN,NaN,NaN
3072,J-28L-40K500ms_m0.9,NaN,NaN,NaN
3073,J-28L-40K500ms_m0.95,NaN,NaN,NaN
3074,J-28L-40K500ms_m1.0,NaN,NaN,NaN
3075,J-28L-30K100ms_m0.6,8.177366256713867,11.880000778170341,7.78170340609563e-7
3076,J-28L-30K100ms_m0.65,8.249845504760742,11.880000751221218,7.512212167881671e-7
3077,J-28L-30K100ms_m0.7,8.999433517456055,11.879998101802741,-1.8981972598197672e-6
3078,J-28L-30K100ms_m0.75,9.73428726196289,11.880001481319965,1.4813199644692077e-6
3079,J-28L-30K100ms_m0.8,10.453739166259766,11.87999720469989,-2.795300110491894e-6
3080,J-28L-30K100ms_m0.85,11.15774154663086,11.879990606164569,-9.393835432192077e-6
3081,J-28L-30K100ms_m0.9,11.846485137939453,11.88000046091642,4.6091641969780994e-7
3082,J-28L-30K100ms_m0.95,12.520923614501953,11.88000362693559,3.626935589196023e-6
3083,J-28L-30K100ms_m1.0,13.182010650634766,11.879997893471867,-2.1065281341492437e-6
3084,J-28L-30K200ms_m0.6,-1.3786053657531738,11.879999320535234,-6.794647671171106e-7
3085,J-28L-30K200ms_m0.65,-0.33940136432647705,11.879999688078655,-3.119213456415082e-7
3086,J-28L-30K200ms_m0.7,0.6662333011627197,11.879999416942269,-5.830577318732821e-7
3087,J-28L-30K200ms_m0.75,1.639082431793213,11.879998351949183,-1.6480508175931163e-6
3088,J-28L-30K200ms_m0.8,2.5806093215942383,11.8800043851584,4.385158399955458e-6
3089,J-28L-30K200ms_m0.85,3.4929418563842773,11.880003168297321,3.1682973204993914e-6
3090,J-28L-30K200ms_m0.9,4.378142356872559,11.88000191434719,1.914347189213572e-6
3091,J-28L-30K200ms_m0.95,5.238332748413086,11.879994231003053,-5.76899694770816e-6
3092,J-28L-30K200ms_m1.0,6.075372695922852,11.880004888099123,4.8880991219135694e-6
3093,J-28L-30K400ms_m0.6,NaN,NaN,NaN
3094,J-28L-30K400ms_m0.65,NaN,NaN,NaN
3095,J-28L-30K400ms_m0.7,NaN,NaN,NaN
3096,J-28L-30K400ms_m0.75,NaN,NaN,NaN
3097,J-28L-30K400ms_m0.8,-9.875164031982422,11.87999964628176,-3.5371824047558675e-7
3098,J-28L-30K400ms_m0.85,-8.505163192749023,11.88000901829517,9.018295168417012e-6
3099,J-28L-30K400ms_m0.9,-7.183752059936523,11.880005900899079,5.900899077815325e-6
3100,J-28L-30K400ms_m0.95,-5.905447006225586,11.880000074673518,7.467351714751658e-8
3101,J-28L-30K400ms_m1.0,-4.6654558181762695,11.880002163963354,2.1639633533965252e-6
3102,J-28L-30K500ms_m0.6,NaN,NaN,NaN
3103,J-28L-30K500ms_m0.65,NaN,NaN,NaN
3104,J-28L-30K500ms_m0.7,NaN,NaN,NaN
3105,J-28L-30K500ms_m0.75,NaN,NaN,NaN
3106,J-28L-30K500ms_m0.8,NaN,NaN,NaN
3107,J-28L-30K500ms_m0.85,NaN,NaN,NaN
3108,J-28L-30K500ms_m0.9,NaN,NaN,NaN
3109,J-28L-30K500ms_m0.95,NaN,NaN,NaN
3110,J-28L-30K500ms_m1.0,NaN,NaN,NaN
3111,J-28L-20K100ms_m0.6,19.819297790527344,11.879989696309991,-1.0303690009649813e-5
3112,J-28L-20K100ms_m0.65,20.347251892089844,11.879991809658947,-8.19034105425942e-6
3113,J-28L-20K100ms_m0.7,20.878639221191406,11.879990915795872,-9.08420412848443e-6
3114,J-28L-20K100ms_m0.75,21.40888214111328,11.880005956553916,5.956553914998608e-6
3115,J-28L-20K100ms_m0.8,21.073951721191406,11.879991314623851,-8.685376149841773e-6
3116,J-28L-20K100ms_m0.85,21.546974182128906,11.880005413887275,5.4138872744857736e-6
3117,J-28L-20K100ms_m0.9,22.015419006347656,11.88000319394257,3.193942569978958e-6
3118,J-28L-20K100ms_m0.95,22.47852325439453,11.879998097946526,-1.9020534747227202e-6
3119,J-28L-20K100ms_m1.0,22.93590545654297,11.88000206416855,2.0641685498645757e-6
3120,J-28L-20K200ms_m0.6,9.660091400146484,11.88000062718774,6.271877399655068e-7
3121,J-28L-20K200ms_m0.65,10.468997955322266,11.880010950136437,1.0950136436704838e-5
3122,J-28L-20K200ms_m0.7,10.497989654541016,11.87999977546309,-2.2453690995405395e-7
3123,J-28L-20K200ms_m0.75,11.21896743774414,11.879992436694266,-7.563305734592518e-6
3124,J-28L-20K200ms_m0.8,11.922588348388672,11.880002796951317,2.796951315886531e-6
3125,J-28L-20K200ms_m0.85,12.609424591064453,11.880003951145085,3.951145084002405e-6
3126,J-28L-20K200ms_m0.9,13.279857635498047,11.880005611444531,5.611444530373433e-6
3127,J-28L-20K200ms_m0.95,13.93484115600586,11.879996932414187,-3.0675858138096146e-6
3128,J-28L-20K200ms_m1.0,14.575138092041016,11.879995890988283,-4.109011717545741e-6
3129,J-28L-20K400ms_m0.6,-8.07591438293457,11.879997192642222,-2.8073577791332127e-6
3130,J-28L-20K400ms_m0.65,-6.78645133972168,11.879994889334014,-5.1106659864075255e-6
3131,J-28L-20K400ms_m0.7,-5.553827285766602,11.880002943780397,2.9437803963361375e-6
3132,J-28L-20K400ms_m0.75,-4.373774528503418,11.88000227505809,2.2750580885855243e-6
3133,J-28L-20K400ms_m0.8,-3.2421445846557617,11.879999438454107,-5.615458942287432e-7
3134,J-28L-20K400ms_m0.85,-2.1547770500183105,11.88000077607441,7.760744100693273e-7
3135,J-28L-20K400ms_m0.9,-1.1077558994293213,11.879999867822221,-1.3217777983243195e-7
3136,J-28L-20K400ms_m0.95,0.7552468776702881,11.880001404100398,1.4041003968401355e-6
3137,J-28L-20K400ms_m1.0,1.7985844612121582,11.880000471256793,4.712567918119248e-7
3138,J-28L-20K500ms_m0.6,NaN,NaN,NaN
3139,J-28L-20K500ms_m0.65,NaN,NaN,NaN
3140,J-28L-20K500ms_m0.7,NaN,NaN,NaN
3141,J-28L-20K500ms_m0.75,NaN,NaN,NaN
3142,J-28L-20K500ms_m0.8,-8.91514778137207,11.879996724587969,-3.275412032266445e-6
3143,J-28L-20K500ms_m0.85,-7.57380485534668,11.879995962902555,-4.037097445674931e-6
3144,J-28L-20K500ms_m0.9,-6.282052993774414,11.880004225250332,4.225250330947006e-6
3145,J-28L-20K500ms_m0.95,-5.034170150756836,11.879997611038831,-2.388961169330628e-6
3146,J-28L-20K500ms_m1.0,-3.8253164291381836,11.879995748626442,-4.251373558972205e-6
3147,J-28L-10K100ms_m0.6,33.329811096191406,11.879990700234686,-9.299765315162745e-6
3148,J-28L-10K100ms_m0.65,33.58196258544922,11.87999100444327,-8.995556731505872e-6
