k,Um
0.0,-30.11665806756355
0.1,-30.043709786260933
0.2,-29.825456497254663
0.3,-29.463662624576273
0.4,-28.96123500397789
0.5,-28.322172996346808
0.6,-27.551500460617035
0.7,-26.655181340979652
0.8,-25.640021038850364
0.9,-24.513556091219698
1.0,-23.283934949817194
1.1,-21.959792837990562
1.2,-20.550123745176734
1.3,-19.064152597125258
1.4,-17.511210513365313
1.5,-15.900615837124633
1.6,-14.241563307945398
1.7,-12.543023359902918
1.8,-10.813653088933961
1.9,-9.06171996443959
2.0,-7.295038887052897
2.1,-5.520922739162188
2.2,-3.7461461578723174
2.3,-1.976921897716693
2.4,-0.21888885407133785
2.5,1.5228894061251594
2.6,3.2439169109431987
2.7,4.94024973339765
2.8,6.608474029431363
2.9,8.245679033791475
3.0,9.849426305963789
3.1,11.417716409049262
3.2,12.948954074101039
3.3,14.441912760736159
3.4,15.895699379895177
3.5,17.30971980308277
3.6,18.683645649194432
3.7,20.017382718534236
3.8,21.31104133591134
3.9,22.56490877169108
4.0,23.779423831380427
4.1,24.955153640200933
4.2,26.09277259796977
4.3,27.193043440218844
4.4,28.256800312311043
4.5,29.284933742847443
4.6,30.278377389502793
4.7,31.238096423153138
4.8,32.165077413634435
4.9,33.06031958159497
5.0,33.92482728471214
5.1,34.75960361243051
5.2,35.56564497048794
5.3,36.34393654454948
5.4,37.09544854067917
5.5,37.82113310895761
5.6,38.52192186503203
5.7,39.19872393252399
5.8,39.85242443707148
5.9,40.48388339004259
6.0,41.09393490679258
6.1,41.68338671058427
6.2,42.253019879030944
6.3,42.80358879509254
6.4,43.33582126937904
6.5,43.85041880469521
6.6,44.34805697755951
6.7,44.82938591474908
6.8,45.29503084593671
6.9,45.74559271607177
7.0,46.181648843520634
7.1,46.60375361197225
7.2,47.01243918594105
7.3,47.40821624123464
7.4,47.79157470310679
7.5,48.16298448603652
7.6,48.52289623004776
7.7,48.87174202941196
7.8,49.20993615031966
7.9,49.537875734774616
8.0,49.855941488526696
8.1,50.164498351342445
8.2,50.46389614831992
8.3,50.75447022131834
8.4,51.03654203985229
8.5,51.310419791060895
8.6,51.57639894856311
8.7,51.834762820200694
8.8,52.08578307478183
8.9,52.329720248097146
9.0,52.56682422854283
9.1,52.79733472277894
9.2,53.021481701900484
9.3,53.23948582865796
9.4,53.45155886629527
9.5,53.657904069572396
9.6,53.8587165586091
9.7,54.05418367614175
9.8,54.24448532881661
9.9,54.42979431314052
10.0,54.61027662669403
10.1,54.78609176521377
10.2,54.95739300613059
10.3,55.12432767914288
10.4,55.28703742438893
10.5,55.44565843875989
10.6,55.60032171088642
10.7,55.75115324530225
10.8,55.898274276294615
10.9,56.041801471892995
11.0,56.18184712846778
