#SP Energy = single-particle energy
#BE_Int = binding energy of lambda derived by integrating hamiltonian
#BE_SPS = binding enrgy of lamdba derived by suming up single-particle energy, etc.
#Elcheck = e_Lam - (e_Lam using Rearrangement Energy)
A,Z,N,jLam,lLam,BE_Int(MeV),BE_SPS(MeV),SP Energy(MeV),EL_check(MeV)
15,8,7,0.5,0,13.131394556944016,12.888153652094928,14.444971084594728,0.8291612978166754
15,8,7,0.5,1,1.9666458882733622,1.7234049834242882,3.2802224159240723,0.8291612978166754
27,14,13,0.5,0,17.12208659655076,17.143750195929726,17.87938117980957,0.2363767140024215
27,14,13,0.5,1,7.39562423235401,7.417287831732978,8.152918815612793,0.2363767140024215
31,16,15,0.5,0,18.18177834311956,18.215254755443112,18.880624771118164,0.2655926637382109
31,16,15,0.5,1,8.440734298624932,8.474210710948483,9.139580726623535,0.2655926637382109
39,20,19,0.5,0,19.230740347115557,19.13588505212664,20.118236541748047,0.5539428099740746
39,20,19,0.5,1,10.347121038643877,10.25226574365496,11.234617233276367,0.5539428099740746
39,20,19,1.5,2,1.3124862100763721,1.2176309150874545,2.1999824047088623,0.5539428099740746
50,23,27,0.5,0,20.475411531635473,20.520269280480136,21.04398727416992,0.2153431838810497
50,23,27,0.5,1,12.68607628078098,12.730934029625644,13.25465202331543,0.2153431838810497
50,23,27,1.5,2,4.215650675007055,4.260508423851775,4.784226417541504,0.2153431838810497
55,26,29,0.5,0,20.99821764117968,21.101428126672204,21.47394180297852,0.1373908143062223
55,26,29,0.5,1,13.51440149432915,13.617611979821504,13.99012565612793,0.1373908143062223
55,26,29,1.5,2,5.262929974858935,5.366140460351346,5.738654136657715,0.1373908143062223
88,39,49,0.5,0,22.818837702606857,22.900160349622638,23.27383041381836,0.1943480446875831
88,39,49,0.5,1,16.749167979096114,16.830490626111896,17.204160690307617,0.1943480446875831
88,39,49,1.5,2,9.841933787201583,9.923256434217365,10.296926498413086,0.1943480446875831
88,39,49,2.5,3,2.489636481140792,2.5709591281565736,2.944629192352295,0.1943480446875831
138,57,81,0.5,0,23.75185796931237,25.347080325961542,24.21838760375977,0.1601506105897776
138,57,81,0.5,1,19.120243284253775,20.71546564090272,19.58677291870117,0.1601506105897776
138,57,81,1.5,2,13.623731824903189,15.218954181552363,14.090261459350586,0.1601506105897776
138,57,81,2.5,3,7.490628454236685,9.085850810886086,7.957158088684082,0.1601506105897776
138,57,81,3.5,4,0.9875030250832424,2.5827253817324163,1.4540326595306396,0.1601506105897776
207,82,125,0.5,0,24.970791907944204,25.063097687080244,25.190296173095703,0.0769687602746138
207,82,125,0.5,1,21.2136202770846,21.30592605622087,21.433124542236328,0.0769687602746138
207,82,125,1.5,2,16.721289725937595,16.81359550507341,16.940793991088867,0.0769687602746138
207,82,125,2.5,3,11.621001334824086,11.713307113960127,11.840505599975586,0.0769687602746138
207,82,125,3.5,4,6.051033111252309,6.14333889038835,6.270537376403809,0.0769687602746138
207,82,125,4.5,5,0.18530872646738317,0.2776145056036512,0.4048129916191101,0.0769687602746138
