k,Um
0.0021193924408340337, -30.4726758935166
0.08029892331219135, -30.34103400044284
0.16196146179117088, -30.147009422786788
0.2436240002701504, -29.945314821679233
0.3252865387491297, -29.521318293869115
0.40694907722810947, -29.03428410569208
0.4886116157070888, -28.616085159157578
0.5702741541860681, -28.025187449575284
0.6519366926650478, -27.17818085141063
0.7335992311440271, -26.402105109609373
0.8152617696230069, -25.60107573435672
0.8969243081019862, -24.63909498540609
0.9785868465809655, -23.56411226063105
1.0602493850599453, -22.550893501110124
1.1419119235389246, -21.312283901327312
1.2303796735578192, -19.971558596058372
1.3052370004968836, -18.76915800125711
1.388045045884842, -17.468767057399397
1.472342750532573, -16.05989703876027
1.5313212505451694, -14.896988227905858
1.6119384936662124, -13.509883387416124
1.6863288467321211, -12.149324846277771
1.7679913852111004, -10.648913180747535
1.8496539236900802, -9.109581204369817
1.9313164621690595, -7.7453906268057295
2.0129790006480395, -6.500517656267903
2.094641539127019, -5.403655905668462
2.176304077605998, -4.314464178520527
2.2579666160849783, -3.3005563985837014
2.3396291545639576, -2.3644892403418254
2.421291693042937, -1.4478822375236788
2.502954231521916, -0.550735390129276
2.5846167700008955, 0.29058766547775505
2.666279308479875, 1.1462575275408504
2.747941846958855, 2.0044840640877837
2.8296043854378343, 2.7459496680922975
2.9112669239168136, 3.526335582944281
2.992929462395793, 4.170500409830108
3.0745920008747722, 4.775744925868466
3.1562545393537524, 5.322608975635614
3.2379170778327317, 5.7916324037078155
3.319579616311711, 6.221735520932537
3.4012421547906904, 6.496157394767376
3.4829046932696697, 6.673278491483526
3.56456723174865, 6.792019121928465
3.646229770227629, 6.774538664407245
3.7278923087066085, 6.67921758519109
3.809554847185588, 6.525516039703717
3.891217385664567, 6.293973872521395
3.9728799241435464, 6.004051239067866
4.054542462622527, 5.714128605614341
4.136205001101506, 5.365825505889603
4.217867539580485, 5.017522406164865
4.2995300780594645, 4.610838840168917
4.381192616538444, 4.243075585020446
4.462855155017424, 3.8558521744482306
4.544517693496403, 3.5075490747234923
4.626180231975383, 3.1397858195750175
4.707842770454362, 2.752562409002806
4.789505308933341, 2.4237194647018043
4.8711678474123214, 2.114336675824539
4.952830385891301, 1.8244140423710107
5.03449292437028, 1.5150312534937491
5.116155462849259, 1.2640289308876937
5.197818001328239, 0.9935664528579018
5.279480539807219, 0.7814844410993196
5.361143078286198, 0.5694024293407338
5.4428056167651775, 0.3573204175821587
5.524468155244157, 0.16469856124730953
5.606130693723136, -0.027923295087536104
5.687793232202116, -0.2234439420601646
5.769455770681096, -0.40128175593266135
5.851118309160075, -0.494488126387683
5.932780847639054, -0.5843490107658127
6.0144433861180335, -0.6796700899819754
6.096105924597014, -0.8722919463168175
6.177768463075993, -0.9592729589228064
6.259431001554972, -1.0547080768569508
6.344496145803909, -1.1331608175195775
6.429561290052845, -1.245647458862539
6.504418616991911, -1.3041592175988121
6.581220290085236, -1.3803910203802552
6.66774369394987, -1.5487729583183416
6.74940623242885, -1.6072480868797498
6.831068770907828, -1.6580650454764658
6.912731309386809, -1.633537475617885
6.973978213246042, -1.6370864342656937
