density,U
0, 0
0.01727119460038451, -1.1427139623404763
0.03700296448025986, -2.445392653445552
0.05421668667467028, -3.557212949010893
0.07303421368547469, -4.634997971209806
0.09185174069627888, -5.859773347443415
0.1106692677070833, -6.924740017680236
0.13053221288515426, -8.051496110063013
0.15039515806322545, -9.203697660806192
0.16921268507402987, -10.252108081864783
0.19022292587588296, -11.377930395344364
0.21312024809924002, -12.597647923184766
0.23716486594637876, -13.797341166497233
0.2619367312142249, -14.983325652548643
0.2855722723872163, -16.12472928594864
0.3075380152060827, -17.097960966990883
0.33438875550220115, -18.270224924305737
0.36261504601840766, -19.420486862261654
0.39188675470188095, -20.52766013459013
0.42220388155262123, -21.650488788035936
0.4546118447378953, -22.77138246735582
0.48806522609043634, -23.756430529320795
0.5215186074429774, -24.701932018506696
0.5549719887955185, -25.55920096370366
0.5884253701480595, -26.312257526685933
0.6218787515006003, -26.981092055967622
0.6553321328531414, -27.568972117588395
0.6887855142056825, -28.150760071874423
0.7222388955582235, -28.664055881008906
0.7556922769107646, -29.10396164832317
0.7891456582633054, -29.442919087178588
0.8225990396158465, -29.65753837345489
0.8560524209683877, -29.82807954371458
0.8895058023209286, -29.94152138598605
0.9229591836734694, -30.04911586206689
0.9564125650260107, -30.03917101699497
0.9898659463785515, -30.029427608449538
1.0233193277310928, -29.962348671909396
1.0567727090836336, -29.776091482556943
1.0902260904361745, -29.59617307750404
1.123088583259391, -29.306327568507804
1.1571328531412566, -29.01201384405399
1.1905862344937979, -28.642833105957862
1.2240396158463387, -28.195017393502575
1.2574929971988795, -27.697324771883295
1.2915047652005476, -27.117379001818144
1.3268707482993198, -26.454099765369783
1.3578531412565034, -25.77910551388937
1.3922822462318263, -25.02661861679249
1.4265520493911854, -24.173308276235723
1.4603428408400396, -23.28966344121664
1.49430112044818, -22.331315806650927
1.5274009603841536, -21.363683493220016
1.55796818727491, -20.417384465860074
1.5831885223225104, -19.62512823709001
1.6118897559023613, -18.66305188597756
1.6380252100840336, -17.775731796421447
1.6631152460984393, -16.933982188579435
1.6882052821128455, -16.004854164185815
1.7122498999599842, -15.120591183359352
1.735249099639856, -14.284640347743483
1.7582482993197281, -13.413688172363408
1.7812474989995999, -12.54331904251547
1.803201280512205, -11.6564571672425
1.8241096438575433, -10.818543825175794
1.8439725890356145, -10.0210764757255
1.8627901160464186, -9.281042832757691
1.8816076430572228, -8.478908638005507
1.9004251700680275, -7.7154167162874145
1.917570028011205, -6.9921485564570744
1.9359693877551023, -6.2156561371122905
1.9537414965986395, -5.4598182386564815
1.9704681872749101, -4.705562781598395
1.9947451202703306, -3.685233684250896
2.0795586404776465, -1.2995560998009523
2.2198245013283295, 6.358785645921671
2.3245005168885418, 12.409743937372923
2.444249878689424, 19.85677111806001
2.558556087681174, 27.371498545844247
2.667419143863794, 34.85237585007985
2.7708390472372835, 42.34829765367044
2.868815797801641, 49.41921235048443
2.966792548365999, 56.791017034396816
3.0647692989303565, 64.20043296669661
3.162746049494715, 71.64746014738364
3.2607228000590722, 79.24493232161996
3.3586995506234305, 86.76718199908163
3.4512331483786576, 94.07316699831631
3.5437667461338846, 101.36034637335729
3.641743496698242, 109.18348603791742
3.734277094453469, 116.6258118125561
3.826810692208696, 124.11515164767894
3.9193442899639233, 131.77374210054455
4.00643473491002, 139.009206009053
4.093525179856115, 146.24466991756148
4.180615624802211, 153.56475913494137
4.267706069748307, 161.01178631562843
4.354796514694403, 168.45881349631549
4.441886959640499, 176.03277864030972
4.528977404586595, 183.64905643873968
4.616067849532691, 191.34995954604105
4.703158294478786, 199.0931753077782
4.790248739424882, 207.00564168725822
4.871896031561846, 214.34990956431565
4.970710190250687, 223.66206730664106
