density,U
0, 0
0.0011359630729241843, 0.013062700964653118
0.02037820663596812, -1.0926526708353244
0.03644457783113286, -2.2584408533158324
0.05421668667467028, -3.332870788855228
0.07303421368547469, -4.410655811054141
0.09185174069627888, -5.429784207145055
0.1106692677070833, -6.382579797304047
0.13053221288515449, -7.4719455296608785
0.15039515806322545, -8.45589046028715
0.17025810324129664, -9.46079921621022
0.19001650660264136, -10.44639229818123
0.21275662438888632, -11.571608093919856
0.23684669519981916, -12.664130549362596
0.2601640656262507, -13.806180053296963
0.2834814360526825, -14.83051544548065
0.3082533013205284, -15.912705721688887
0.3337196878751503, -17.002283241375224
0.36052420968387366, -18.100260035556325
0.38813099313799615, -19.22020651305796
0.4169767907162867, -20.31638116798225
0.4472242230225427, -21.434879536872494
0.4769140989729226, -22.437639507697725
0.5131552621048421, -23.605076775001898
0.5466086434573831, -24.69822645657635
0.5800620248099242, -25.658627921469574
0.6135154061624652, -26.605178201656564
0.6469687875150063, -27.57088903730196
0.6804221688675471, -28.312473078667303
0.7112217964108722, -29.003533124681965
0.7293635146674147, -29.45634255330927
0.7515106042416968, -29.928638808683708
0.7853280267397582, -30.569214141616897
0.8077541016406562, -30.950400360995083
0.8340442695491208, -31.418898883511652
0.8581432573029213, -31.784647292179976
0.8915966386554626, -32.20326742269303
0.9250500200080034, -32.560635208618734
0.958015539549153, -32.883029453585635
0.9910507536347875, -33.146761810753425
1.024922302254235, -33.34271371582215
1.0582362945178074, -33.50135865728113
1.0923169267707085, -33.588396691139174
1.1257703081232493, -33.64328772104723
1.1592236894757906, -33.61207134820214
1.191283179938642, -33.60186262410425
1.2252458675778004, -33.5155283823893
1.2611117523932651, -33.36475338032812
1.2945651337458064, -33.18705427075602
1.3285814325730292, -32.95819935691317
1.3638269593551708, -32.6631880646149
1.395890279188598, -32.35240693791737
1.4315551220488199, -31.954827617006053
1.4644857943177274, -31.536269928992482
1.4968937575030012, -31.023986570916108
1.5272108843537415, -30.525519634065972
1.5606642657062828, -29.979804101353146
1.5941176470588236, -29.38368753349409
1.6275710284113645, -28.69022348941585
1.6610244097639058, -27.946445019426562
1.6944777911164466, -27.145789372320458
1.7279311724689879, -26.292631715568042
1.7613845538215287, -25.393534800375114
1.79483793517407, -24.4353731243301
1.8282913165266108, -23.420334271168258
1.8617446978791516, -22.36591891077169
1.894152661064426, -21.281752411575546
1.9255152060824332, -20.16637638442299
1.9558323329331735, -19.05016699203795
1.9818864684648423, -18.041739463125147
2.0007853141256504, -17.259737926699977
2.1067744045233017, -12.611795062430076
2.2265237663241835, -8.488234557421492
2.3329676434805235, -4.428811965625073
2.4665408854315793, 1.0422626727107058
2.5857718517268293, 6.151311722106527
2.7055212135277116, 10.792905548454712
2.8182722360025676, 15.69279357235024
2.9441825290049928, 20.325969759614395
3.0647692989303565, 25.64206496090776
3.184518660731239, 30.580568979466932
3.30426802253212, 36.01251190260837
3.4240173843330024, 41.33621315161196
3.5437667461338846, 46.65991440061549
3.663516107934766, 51.95284281002944
3.7832654697356483, 57.30731689862267
3.9030148315365296, 62.723336666395085
4.022764193337412, 68.26244779252596
4.142513555138294, 73.83233175824648
4.262262916939175, 79.43298856355653
4.382012278740058, 85.12596388763552
4.5017616405409395, 90.91125773048327
4.621511002341821, 96.69655157333108
4.741260364142702, 102.48184541617888
4.871170277853961, 109.22608296341656
4.978037511339901, 114.66926155124537
