density,U
0.01,-0.6321745179563241
0.11,-6.749104925694722
0.21,-12.069231531326032
0.31,-16.606966941681357
0.41,-20.40558734291364
0.51,-23.50204168880348
0.61,-25.92711316427709
0.71,-27.706810606238633
0.81,-28.863484150624885
0.91,-29.416631957723226
1.01,-29.38348300623582
1.11,-28.77942586941225
1.21,-27.618331014652398
1.31,-25.912798102327628
1.41,-23.674349311777917
1.51,-20.91358300949159
1.61,-17.640297711275878
1.71,-13.863593400702513
1.81,-9.591955313081826
1.91,-4.833323947347822
2.01,0.4048458783954061
2.11,6.11553478909218
2.21,12.292115786513534
2.31,18.928317071768305
2.41,26.018189745620163
2.51,33.55607958172715
2.61,41.53660222585128
2.71,49.954621296520145
2.81,58.80522895838794
2.91,68.08372861523065
3.01,77.78561942980792
3.11,87.90658242621095
3.21,98.44246796952655
3.31,109.38928444952461
3.41,120.74318802128425
3.51,132.50047327724513
3.61,144.65756474310325
3.71,157.2110091049276
3.81,170.15746808740488
3.91,183.49371191370483
4.01,197.21661328639067
4.11,211.32314183642166
4.21,225.81035899378656
4.31,240.67541323887713
4.41,255.91553569849714
4.51,271.52803605455483
4.61,287.51029873705005
4.71,303.8597793761029
4.81,320.574001490472
4.91,337.650553392402
5.01,355.0870852907053
5.11,372.88130657582434
5.21,391.0309832722456
5.31,409.5339356450425
5.41,428.3880359486041
5.51,447.5912063067298
5.61,467.1414167142605
5.71,487.0366831513184
5.81,507.2750658020145
5.91,527.8546673702125
