index,Parameter Name,paper,a1,a2,a3,a4,a5,a6,a7,a8,gamma1,gamma2,gamma3,gamma4,u0,u1,u2,u3,u31,u32,J (MeV),L (MeV),K (MeV),m*/m
1,J-33L-50K100ms_m0.6,20221111,-812.4999999999997,72.70945464531216,0.0,1669.3267728214253,-1280.9351056107096,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.4999999999997,72.70945464531216,218.12836393593648,0,4451.538060857134,-3415.8269482952255,-33,-50,100,0.6
2,J-33L-50K100ms_m0.65,20221111,-812.5000000000003,58.72686721352134,0.0,1669.326772821426,-1230.352701882321,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5000000000003,58.72686721352134,176.18060164056402,0,4451.538060857136,-3280.940538352856,-33,-50,100,0.65
3,J-33L-50K100ms_m0.7,20221111,-812.5,46.741792271986384,0.0,1669.3267728214246,-1186.9963558294162,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5,46.741792271986384,140.22537681595915,0,4451.538060857132,-3165.3236155451095,-33,-50,100,0.7
4,J-33L-50K100ms_m0.75,20221111,-812.5000000000001,36.35472732265607,0.0,1669.3267728214253,-1149.4208559169003,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5000000000001,36.35472732265607,109.06418196796821,0,4451.538060857134,-3065.1222824450674,-33,-50,100,0.75
5,J-33L-50K100ms_m0.8,20221111,-812.4999999999997,27.266045491992056,0.0,1669.3267728214244,-1116.5422934934468,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.4999999999997,27.266045491992056,81.79813647597616,0,4451.538060857131,-2977.4461159825246,-33,-50,100,0.8
6,J-33L-50K100ms_m0.85,20221111,-812.5000000000003,19.246620347288513,0.0,1669.326772821426,-1087.5317972374603,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5000000000003,19.246620347288513,57.73986104186554,0,4451.538060857136,-2900.084792633227,-33,-50,100,0.85
7,J-33L-50K100ms_m0.9,20221111,-812.5000000000001,12.118242440885364,0.0,1669.326772821425,-1061.7446894543602,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5000000000001,12.118242440885364,36.35472732265609,0,4451.538060857133,-2831.3191718782937,-33,-50,100,0.9
8,J-33L-50K100ms_m0.95,20221111,-812.4999999999998,5.740220103577268,0.0,1669.3267728214244,-1038.6720140694804,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.4999999999998,5.740220103577268,17.220660310731805,0,4451.538060857131,-2769.792037518614,-33,-50,100,0.95
9,J-33L-50K100ms_m1.0,20221111,-812.5,0.0,0.0,1669.326772821425,-1017.9066062230901,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-812.5,0.0,0.0,0,4451.538060857133,-2714.4176165949066,-33,-50,100,1.0
10,J-33L-50K200ms_m0.6,20221111,-499.9999999999997,72.70945464531216,0.0,518.0669294963046,-220.61572412832413,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-499.9999999999997,72.70945464531216,218.12836393593648,0,1381.5118119901456,-588.308597675531,-33,-50,200,0.6
11,J-33L-50K200ms_m0.65,20221111,-500.0000000000003,58.72686721352134,0.0,518.0669294963053,-170.03332039993552,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-500.0000000000003,58.72686721352134,176.18060164056402,0,1381.5118119901474,-453.42218773316137,-33,-50,200,0.65
12,J-33L-50K200ms_m0.7,20221111,-499.9999999999999,46.741792271986384,0.0,518.0669294963039,-126.67697434703065,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-499.9999999999999,46.741792271986384,140.22537681595915,0,1381.5118119901438,-337.80526492541503,-33,-50,200,0.7
13,J-33L-50K200ms_m0.75,20221111,-500.00000000000006,36.35472732265607,0.0,518.0669294963046,-89.10147443451481,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-500.00000000000006,36.35472732265607,109.06418196796821,0,1381.5118119901456,-237.60393182537283,-33,-50,200,0.75
14,J-33L-50K200ms_m0.8,20221111,-499.99999999999966,27.266045491992056,0.0,518.0669294963036,-56.222912011061275,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-499.99999999999966,27.266045491992056,81.79813647597616,0,1381.5118119901429,-149.92776536283006,-33,-50,200,0.8
15,J-33L-50K200ms_m0.85,20221111,-500.0000000000003,19.246620347288513,0.0,518.0669294963053,-27.212415755074666,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-500.0000000000003,19.246620347288513,57.73986104186554,0,1381.5118119901474,-72.56644201353244,-33,-50,200,0.85
16,J-33L-50K200ms_m0.9,20221111,-500.00000000000017,12.118242440885364,0.0,518.0669294963043,-1.425307971974456,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-500.00000000000017,12.118242440885364,36.35472732265609,0,1381.5118119901447,-3.800821258598549,-33,-50,200,0.9
17,J-33L-50K200ms_m0.95,20221111,-499.99999999999983,5.740220103577268,0.0,518.0669294963036,21.647367412905282,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-499.99999999999983,5.740220103577268,17.220660310731805,0,1381.5118119901429,57.72631310108075,-33,-50,200,0.95
18,J-33L-50K200ms_m1.0,20221111,-500.0,0.0,0.0,518.0669294963043,42.41277525929542,0,0,0,0.3333333333333333,0.6666666666666666,0,0,-500.0,0.0,0.0,0,1381.5118119901447,113.10073402478778,-33,-50,200,1.0
19,J-33L-50K400ms_m0.6,20221111,125.00000000000036,72.70945464531216,0.0,-1784.452757153937,1900.0230388364473,0,0,0,0.3333333333333333,0.6666666666666666,0,0,125.00000000000036,72.70945464531216,218.12836393593648,0,-4758.540685743832,5066.728103563859,-33,-50,400,0.6
20,J-33L-50K400ms_m0.65,20221111,124.99999999999964,58.72686721352134,0.0,-1784.4527571539359,1950.6054425648351,0,0,0,0.3333333333333333,0.6666666666666666,0,0,124.99999999999964,58.72686721352134,176.18060164056402,0,-4758.540685743828,5201.614513506227,-33,-50,400,0.65
21,J-33L-50K400ms_m0.7,20221111,125.0,46.741792271986384,0.0,-1784.452757153937,1993.96178861774,0,0,0,0.3333333333333333,0.6666666666666666,0,0,125.0,46.741792271986384,140.22537681595915,0,-4758.540685743832,5317.231436313973,-33,-50,400,0.7
